name,wins,losses,ties,win_percent,points_scored,points_allowed,num_games,points_scored_per_game,points_allowed_per_game
Philadelphia Eagles,8,4,0,0.6666666666666666,270,249,12,22.5,20.75
Dallas Cowboys,6,5,1,0.5,351,342,12,29.25,28.5
Los Angeles Chargers,8,4,0,0.6666666666666666,277,252,12,23.083333333333332,21.0
Kansas City Chiefs,6,6,0,0.5,305,232,12,25.416666666666668,19.333333333333332
New Orleans Saints,2,10,0,0.16666666666666666,182,295,12,15.166666666666666,24.583333333333332
Arizona Cardinals,3,9,0,0.25,265,303,12,22.083333333333332,25.25
New York Jets,3,9,0,0.25,246,315,12,20.5,26.25
Pittsburgh Steelers,6,6,0,0.5,281,289,12,23.416666666666668,24.083333333333332
Indianapolis Colts,8,4,0,0.6666666666666666,357,249,12,29.75,20.75
Miami Dolphins,5,7,0,0.4166666666666667,247,286,12,20.583333333333332,23.833333333333332
Atlanta Falcons,4,8,0,0.3333333333333333,243,276,12,20.25,23.0
Tampa Bay Buccaneers,7,5,0,0.5833333333333334,279,301,12,23.25,25.083333333333332
Washington Commanders,3,9,0,0.25,262,323,12,21.833333333333332,26.916666666666668
New York Giants,2,11,0,0.15384615384615385,279,367,13,21.46153846153846,28.23076923076923
Jacksonville Jaguars,8,4,0,0.6666666666666666,292,253,12,24.333333333333332,21.083333333333332
Carolina Panthers,7,6,0,0.5384615384615384,247,297,13,19.0,22.846153846153847
Cleveland Browns,3,9,0,0.25,194,270,12,16.166666666666668,22.5
Cincinnati Bengals,4,8,0,0.3333333333333333,280,374,12,23.333333333333332,31.166666666666668
New England Patriots,11,2,0,0.8461538461538461,351,241,13,27.0,18.53846153846154
Las Vegas Raiders,2,10,0,0.16666666666666666,179,308,12,14.916666666666666,25.666666666666668
Seattle Seahawks,9,3,0,0.75,350,217,12,29.166666666666668,18.083333333333332
San Francisco 49ers,9,4,0,0.6923076923076923,307,269,13,23.615384615384617,20.692307692307693
Denver Broncos,10,2,0,0.8333333333333334,284,218,12,23.666666666666668,18.166666666666668
Tennessee Titans,1,11,0,0.08333333333333333,170,328,12,14.166666666666666,27.333333333333332
Los Angeles Rams,9,3,0,0.75,334,210,12,27.833333333333332,17.5
Houston Texans,7,5,0,0.5833333333333334,263,198,12,21.916666666666668,16.5
Green Bay Packers,8,3,1,0.6666666666666666,294,226,12,24.5,18.833333333333332
Detroit Lions,7,5,0,0.5833333333333334,350,274,12,29.166666666666668,22.833333333333332
Buffalo Bills,8,4,0,0.6666666666666666,337,259,12,28.083333333333332,21.583333333333332
Baltimore Ravens,6,6,0,0.5,289,293,12,24.083333333333332,24.416666666666668
Chicago Bears,9,3,0,0.75,313,307,12,26.083333333333332,25.583333333333332
Minnesota Vikings,4,8,0,0.3333333333333333,224,281,12,18.666666666666668,23.416666666666668
