home_team,away_team,possession,field_position,down,distance,quarter,minutes,seconds,home_score,away_score,play_type,yards_gained,points_scored,score_type,penalty_type,penalty_yards,penalized_team,td_attempt_type,td_attempt_result,outcome
NO,ARI,ARI,78,1,10,1,14,56,0,0,run,3,0,,,0,,,,
NO,ARI,ARI,75,2,7,1,14,18,0,0,pass,11,0,,,0,,,,1st_down
NO,ARI,ARI,64,1,10,1,13,40,0,0,pass,-11,0,,,0,,,,
NO,ARI,ARI,75,2,21,1,12,57,0,0,run,-2,0,,,0,,,,
NO,ARI,ARI,77,3,23,1,12,14,0,0,run,1,0,,,0,,,,
NO,ARI,ARI,76,4,22,1,11,39,0,0,punt,0,0,,,0,,,,punt
NO,ARI,NO,77,1,10,1,11,27,0,0,run,3,0,,,0,,,,
NO,ARI,NO,74,2,7,1,10,55,0,0,pass,0,0,,,0,,,,
NO,ARI,NO,74,3,7,1,10,51,0,0,pass,0,0,,,0,,,,
NO,ARI,NO,74,4,7,1,10,46,0,0,punt,0,0,,,0,,,,punt
NO,ARI,ARI,66,1,10,1,10,34,0,0,pass,5,0,,,0,,,,
NO,ARI,ARI,61,2,5,1,10,06,0,0,run,13,0,,,0,,,,1st_down
NO,ARI,ARI,48,1,10,1,09,28,0,0,run,1,0,,,0,,,,
NO,ARI,ARI,47,2,9,1,08,55,0,0,pass,0,0,,,0,,,,
NO,ARI,ARI,47,3,9,1,08,11,0,0,no_play,0,0,,Defensive Pass Interference,13,home,,,1st_down
NO,ARI,ARI,34,1,10,1,08,05,0,0,no_play,0,0,,False Start,5,away,,,penalty
NO,ARI,ARI,39,1,15,1,08,05,0,0,pass,0,0,,,0,,,,
NO,ARI,ARI,39,2,15,1,07,22,0,0,run,12,0,,,0,,,,
NO,ARI,ARI,27,3,3,1,06,38,0,0,pass,5,0,,,0,,,,1st_down
NO,ARI,ARI,22,1,10,1,05,58,0,0,run,3,0,,,0,,,,
NO,ARI,ARI,19,2,7,1,05,17,0,0,pass,0,0,,,0,,,,
NO,ARI,ARI,19,3,7,1,05,14,0,0,no_play,0,0,,Delay of Game,5,away,,,penalty
NO,ARI,ARI,24,3,12,1,05,14,0,0,pass,0,0,,,0,,,,
NO,ARI,ARI,24,4,12,1,05,07,0,3,field_goal,0,3,fg,,0,,,,fg_made
NO,ARI,NO,75,1,10,1,04,56,0,3,pass,11,0,,,0,,,,1st_down
NO,ARI,NO,64,1,10,1,04,33,0,3,run,2,0,,,0,,,,
NO,ARI,NO,62,2,8,1,04,14,0,3,pass,13,0,,,0,,,,1st_down
